bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,roi_ci_low,roi_ci_high,p_roi_le_0,model,strategy,ev_threshold
1530,424,0.27712418300653596,1530.0,-45.599999999999994,-0.029803921568627448,5.037869281045752,0.3629559589945368,-111.18000000000002,-0.10801555994492346,0.07062528230557737,0.7398,Team + Market,all_qualifying,0.15
3196,1129,0.3532540675844806,3196.0,-83.03,-0.025979349186483106,3.904167709637046,0.24840486173010076,-152.20000000000005,-0.0685376274281256,0.01540641932252974,0.8834,Team + Market + Elo/Rest,argmax,0.0
2997,1041,0.34734734734734735,2997.0,-59.89,-0.019983316649983318,3.974464464464465,0.2641803269671436,-128.7800000000001,-0.06351500544538156,0.022597990571925786,0.8074,Team + Market + Elo/Rest,argmax,0.02
2663,898,0.3372136687945926,2663.0,-48.74000000000001,-0.018302666165978223,4.126045812992865,0.29284355515815685,-122.65000000000005,-0.0664225675706048,0.033360005352965884,0.7564,Team + Market + Elo/Rest,argmax,0.05
2101,657,0.31270823417420274,2101.0,-62.29999999999999,-0.029652546406473104,4.402099000475965,0.3513251801357527,-103.56000000000006,-0.07577251225795331,0.014947321668878286,0.8988,Team + Market + Elo/Rest,argmax,0.1
1597,460,0.28804007514088914,1597.0,-52.47,-0.032855353788353164,4.737094552285535,0.4229561176981722,-87.75999999999998,-0.09907937371115372,0.028226733075435183,0.8338,Team + Market + Elo/Rest,argmax,0.15
3898,1336,0.3427398665982555,3898.0,-154.2,-0.03955874807593637,3.9580605438686507,0.22016471327460682,-201.8200000000002,-0.06303874379209028,-0.018407768763294217,1.0,Team + Market + Elo/Rest,all_qualifying,0.0
3520,1191,0.33835227272727275,3520.0,-99.88999999999999,-0.028377840909090905,4.054605113636363,0.24273463234784387,-143.29000000000008,-0.05385319655128335,-0.0026911370968216654,0.9868,Team + Market + Elo/Rest,all_qualifying,0.02
3005,988,0.3287853577371048,3005.0,-75.71999999999998,-0.025198003327787016,4.229537437603994,0.2782903052106389,-127.80000000000004,-0.06885490205947266,0.018264827369628613,0.866,Team + Market + Elo/Rest,all_qualifying,0.05
2285,702,0.3072210065645514,2285.0,-63.080000000000005,-0.027606126914660835,4.533798687089716,0.34263220001223704,-102.41000000000003,-0.07247157639916771,0.014248910431211279,0.8958,Team + Market + Elo/Rest,all_qualifying,0.1
1712,489,0.28563084112149534,1712.0,-36.39999999999999,-0.02126168224299065,4.888072429906543,0.4158530466281483,-76.13,-0.08386030019682726,0.04103219080914018,0.7424,Team + Market + Elo/Rest,all_qualifying,0.15
3161,863,0.2730148687124328,3161.0,-77.79999999999998,-0.024612464409996832,5.0216545397026255,0.33032839999781527,-161.18,-0.07434296679197995,0.026087736277022627,0.8254,Team + Market + Elo/Rest + sigmoid,argmax,0.0
2976,794,0.2668010752688172,2976.0,-69.92000000000002,-0.023494623655913986,5.1457426075268815,0.3502248940116159,-162.29000000000002,-0.08129793924394282,0.03551473626264874,0.7784,Team + Market + Elo/Rest + sigmoid,argmax,0.02
2666,683,0.25618904726181546,2666.0,-65.28999999999998,-0.02448987246811702,5.38996624156039,0.3870222062552371,-149.23000000000002,-0.08521244521045146,0.03544691781421136,0.7848,Team + Market + Elo/Rest + sigmoid,argmax,0.05
2137,513,0.2400561534861956,2137.0,-15.16000000000001,-0.007094057089377637,5.889990641085634,0.46427542727887894,-137.08,-0.08873789365671642,0.07406987150796249,0.56,Team + Market + Elo/Rest + sigmoid,argmax,0.1
1764,395,0.22392290249433106,1764.0,-2.1800000000000033,-0.0012358276643990949,6.37657596371882,0.5363697112062511,-79.0,-0.07098221552628027,0.07064671298770711,0.5174,Team + Market + Elo/Rest + sigmoid,argmax,0.15
3983,1022,0.2565905096660808,3983.0,-104.16000000000001,-0.02615114235500879,5.391762490584986,0.3074247013202769,-194.90000000000006,-0.07741043128825241,0.02916791821125782,0.8314,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.0
3650,901,0.24684931506849314,3650.0,-143.65,-0.03935616438356165,5.558180821917809,0.33458656251649727,-208.74000000000007,-0.09164483586768699,0.013346753818873123,0.9256,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.02
3224,763,0.23666253101736973,3224.0,-116.11,-0.03601426799007444,5.833325062034739,0.37435465448339345,-184.78999999999996,-0.09583560207361706,0.02370748151476026,0.8838,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.05
